rank,tier,gutenberg,title,author,year,form,text_source,downloads_30d,sitelinks,wikipedia,genre,status,slug
148,A,4300,Ulysses,James Joyce,1922,novel,gutenberg,32653,84,yes,autobiography;Bildungsroman;metafiction;modernist literature;serialized fiction;experimental literature;high literature,new,g4300
149,A,141,Mansfield Park,Jane Austen,1814,novel,gutenberg,7376,44,yes,romantic fiction,new,g141
150,A,121,Northanger Abbey,Jane Austen,1818,novel,gutenberg,23143,36,yes,romantic fiction,have,g121
151,A,105,Persuasion,Jane Austen,1817,novel,gutenberg,11688,46,yes,romantic fiction,have,b50
152,A,308,Three Men in a Boat,Jerome K. Jerome,1889,novel,gutenberg,7984,29,yes,humorous fiction,new,g308
153,A,2527,The Sorrows of Young Werther,Johann Wolfgang von Goethe,1774,novel,gutenberg,28159,64,yes,epistolary novel;sentimental novel;diary literature,new,g2527
154,A,558,The Thirty-Nine Steps,John Buchan,1915,novel,gutenberg,47133,20,yes,mystery fiction;spy fiction,have,g558
155,A,26,Paradise Lost,John Milton,1667,poem,gutenberg,,,,,,
156,A,61620,The Curse of Capistrano,Johnston McCulley,1919,novel,gutenberg,,,,,,
157,A,1080,A Modest Proposal,Jonathan Swift,1729,essay,gutenberg,,,,,,
158,A,5658,Lord Jim,Joseph Conrad,1900,novel,gutenberg,3607,39,yes,psychological fiction,have,g5658
159,A,974,The Secret Agent,Joseph Conrad,1907,novel,gutenberg,46929,22,yes,spy fiction,have,g974
160,A,1268,The Mysterious Island,Jules Verne,1874,novel,gutenberg,9741,,no,,have,g1268
161,A,61,The Communist Manifesto,Karl Marx and Friedrich Engels,1848,nonfiction,gutenberg,,,,,,
162,A,160,The Awakening,Kate Chopin,1899,novel,gutenberg,25199,16,yes,,new,g160
163,A,67979,The Blue Castle,L. M. Montgomery,1926,novel,gutenberg,,,,,,
164,A,6157,How Much Land Does a Man Need?,Leo Tolstoy,1886,short story,gutenberg,3512,24,yes,,new,g6157
165,A,2680,Meditations,Marcus Aurelius,,nonfiction,gutenberg,,,,,,
166,A,86,A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,novel,gutenberg,23834,31,yes,science fiction;fantasy;alternate history;humorous literature;satirical fiction,new,g86
167,A,1837,The Prince and the Pauper,Mark Twain,1881,novel,gutenberg,24154,43,yes,historical fiction;cloak and dagger novel;children's fiction,new,g1837
168,A,6133,"Arsène Lupin, Gentleman-Burglar",Maurice Leblanc,1907,short story collection,gutenberg,,,,,,
169,A,1232,The Prince,Niccolò Machiavelli,1532,nonfiction,gutenberg,,,,,,
170,A,421,Kidnapped,Robert Louis Stevenson,1886,novel,gutenberg,9755,,no,,have,g421
171,A,849,The King in Yellow,Robert W. Chambers,1895,short story collection,gutenberg,,,,,,
172,A,1156,Babbitt,Sinclair Lewis,1922,novel,gutenberg,2599,14,yes,satire,have,g1156
173,A,44747,The Red and the Black,Stendhal,1830,novel,gutenberg,3271,51,yes,Bildungsroman;historical fiction;psychological fiction,new,g44747
174,A,73,The Red Badge of Courage,Stephen Crane,1895,novel,gutenberg,,,,,,
175,A,107,Far from the Madding Crowd,Thomas Hardy,1874,novel,gutenberg,4112,25,yes,,new,g107
176,A,153,Jude the Obscure,Thomas Hardy,1895,novel,gutenberg,3225,19,yes,,new,g153
177,A,143,The Mayor of Casterbridge,Thomas Hardy,1886,novel,gutenberg,2713,20,yes,,new,g143
178,A,66073,Death in Venice,Thomas Mann,1912,novella,gutenberg,1679,46,yes,,new,g66073
179,A,,The Bridge of San Luis Rey,Thornton Wilder,1927,novel,us_pd,,,,,,
180,A,140,The Jungle,Upton Sinclair,1905,novel,gutenberg,8892,27,yes,social fiction,have,g140
181,A,,Orlando,Virginia Woolf,1928,novel,us_pd,,,,,,
182,A,408,The Souls of Black Folk,W. E. B. Du Bois,1903,nonfiction,gutenberg,,,,,,
183,A,351,Of Human Bondage,W. Somerset Maugham,1915,novel,gutenberg,2226,24,yes,Bildungsroman,new,g351
184,A,82,Ivanhoe,Walter Scott,1819,novel,gutenberg,5342,51,yes,historical fiction,new,g82
185,A,60976,Rip Van Winkle,Washington Irving,1818,short story,gutenberg,5521,35,yes,time-travel fiction,new,g60976
186,A,155,The Moonstone,Wilkie Collins,1868,novel,gutenberg,50961,30,yes,fantasy;epistolary novel;crime fiction,have,g155
187,A,583,The Woman in White,Wilkie Collins,1859,novel,gutenberg,51733,,no,,have,g583
188,A,,Death Comes for the Archbishop,Willa Cather,1927,novel,us_pd,,,,,,
189,A,242,My Ántonia,Willa Cather,1918,novel,gutenberg,,,,,,
190,A,,As I Lay Dying,William Faulkner,1930,novel,us_pd,,,,,,
191,A,,The Sound and the Fury,William Faulkner,1929,novel,us_pd,,,,,,
192,A,599,Vanity Fair,William Makepeace Thackeray,1848,novel,gutenberg,21168,43,yes,satirical fiction,new,g599
193,A,2266,As You Like It,William Shakespeare,1599,play,gutenberg,,,,,,
194,A,2262,Henry V,William Shakespeare,1599,play,gutenberg,,,,,,
195,A,1522,Much Ado About Nothing,William Shakespeare,1598,play,gutenberg,,,,,,
196,A,2263,Richard III,William Shakespeare,1593,play,gutenberg,,,,,,
197,A,1120,The Merchant of Venice,William Shakespeare,1596,play,gutenberg,,,,,,
198,A,2264,The Taming of the Shrew,William Shakespeare,1593,play,gutenberg,,,,,,
199,A,2235,Twelfth Night,William Shakespeare,1602,play,gutenberg,,,,,,
200,B,1872,The Red House Mystery,A. A. Milne,1922,novel,gutenberg,,,,,,
201,B,70114,The Big Four,Agatha Christie,1927,novel,gutenberg,,,,,,
202,B,61168,The Man in the Brown Suit,Agatha Christie,1924,novel,gutenberg,47569,29,yes,thriller;detective fiction;crime fiction,new,g61168
203,B,58866,The Murder on the Links,Agatha Christie,1923,novel,gutenberg,,,,,,
204,B,,The Mystery of the Blue Train,Agatha Christie,1928,novel,us_pd,,,,,,
205,B,65238,The Secret of Chimneys,Agatha Christie,1925,novel,gutenberg,,,,,,
206,B,1999,Crome Yellow,Aldous Huxley,1921,novel,gutenberg,1138,7,yes,,new,g1999
207,B,35155,The Betrothed,Alessandro Manzoni,1827,novel,gutenberg,,,,,,
208,B,2759,The Man in the Iron Mask,Alexandre Dumas,1850,novel,gutenberg,,,,,,
209,B,1259,Twenty Years After,Alexandre Dumas,1845,novel,gutenberg,,,,,,
210,B,11438,The Willows,Algernon Blackwood,1907,novella,gutenberg,,,,,,
211,B,503,The Blue Fairy Book,Andrew Lang,1889,fairy tales,gutenberg,,,,,,
212,B,,Gentlemen Prefer Blondes,Anita Loos,1925,novel,us_pd,,,,,,
213,B,3268,The Mysteries of Udolpho,Ann Radcliffe,1794,novel,gutenberg,84458,20,yes,Gothic fiction;fantasy;thriller;horror fiction;romantic fiction,have,g3268
214,B,767,Agnes Grey,Anne Brontë,1847,novel,gutenberg,1999,29,yes,,new,g767
215,B,5160,The Mabinogion,Anonymous,,myth,gutenberg,,,,,,
216,B,3409,Barchester Towers,Anthony Trollope,1857,novel,gutenberg,,,,,,
