rank,gutenberg,title,author,downloads_30d,pick_score,locc,shelves,pg_issued,language,source,coffees,slug
97,236,The Jungle Book,Rudyard Kipling,15872,11,PR,Scouts; Children's Literature; Movie Books; Contemporary Reviews; Category: Short Stories; Category: Children & Young Adult Reading; Category: Adventure; Category: British Literature; Nobel Prizes in Literature,2006-01-16,en,hand-picked,2,b40
98,164,Twenty Thousand Leagues under the Seas,Jules Verne,15599,11,PQ,Science Fiction; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Classics of Literature; Category: French Literature,1994-09-01,en,hand-picked,2,b36
99,996,Don Quixote,Miguel de Cervantes,15451,9,PQ,Best Books Ever Listings; Harvard Classics; Category: Novels; Category: Classics of Literature,2004-07-27,en,hand-picked,2,b43
100,521,Robinson Crusoe,Daniel Defoe,14621,11,PR,Category: Adventure; Category: Novels; Category: Classics of Literature; Category: British Literature,1996-05-01,en,hand-picked,2,b42
101,36,The War of the Worlds,H. G. Wells,14318,9,PR,Science Fiction; Movie Books; Category: Science-Fiction & Fantasy; Category: Novels; Category: Classics of Literature; Category: British Literature,2004-10-01,en,hand-picked,1,b17
102,1257,The three musketeers,Alexandre Dumas,14239,11,PQ,Adventure; Historical Fiction; Best Books Ever Listings; Movie Books; Category: Adventure; Category: Novels; Category: Classics of Literature; Category: French Literature,1998-03-01,en,auto-scored,1,g1257
103,12,Through the Looking-Glass,Lewis Carroll,13061,9,PR; PZ,Children's Literature; Best Books Ever Listings; Category: Children & Young Adult Reading; Category: Novels; Category: British Literature,2008-06-25,en,hand-picked,2,b37
104,910,White Fang,Jack London,12571,11,PS,Adventure; Movie Books; Category: Adventure; Category: Novels; Category: American Literature,1997-05-01,en,auto-scored,1,g910
105,105,Persuasion,Jane Austen,11688,9,PR,Category: Novels; Category: British Literature,1994-02-01,en,hand-picked,2,b50
106,62,A princess of Mars,Edgar Rice Burroughs,11471,11,PS,Science Fiction; Best Books Ever Listings; Category: Science-Fiction & Fantasy; Category: Adventure,1993-04-01,en,auto-scored,1,g62
107,1874,The Railway Children,E. Nesbit,10995,11,PR; PZ,Children's Literature; Children's Fiction; Category: Children & Young Adult Reading; Category: Adventure; Category: British Literature,1999-08-01,en,auto-scored,1,g1874
