rank,status,gutenberg,title,author,year,downloads_30d,sitelinks,form,genre,wikipedia,slug
156,have,1257,The three musketeers,Alexandre Dumas,,14239,,,,no,g1257
157,new,600,Notes from Underground,Fyodor Dostoyevsky,1864,13537,50,novella,philosophical fiction,yes,g600
158,have,12,Through the Looking-Glass,Lewis Carroll,1871,13061,61,novel,fantasy,yes,b37
159,new,2638,The Idiot,Fyodor Dostoyevsky,1869,12869,70,novel,,yes,g2638
160,new,2814,Dubliners,James Joyce,1914,12784,45,short story collection,,yes,g2814
161,have,910,White Fang,Jack London,1906,12571,48,novel,adventure fiction;young adult fiction,yes,g910
162,new,61,The Communist Manifesto,Friedrich Engels & Karl Marx,1848,12066,143,,political manifesto,yes,g61
163,have,105,Persuasion,Jane Austen,1817,11688,46,novel,romantic fiction,yes,b50
164,have,62,A princess of Mars,Edgar Rice Burroughs,,11471,,,,no,g62
165,new,1170,Anabasis (Xenophon),Xenophon,1859,11047,48,,travel book;historiography,yes,g1170
166,new,19942,Candide,Voltaire,1759,11022,65,novella;narration,Bildungsroman,yes,g19942
167,have,1874,The Railway Children,E. Nesbit,,10995,,,,no,g1874
168,new,17396,The Secret Garden,Frances Hodgson Burnett,1912,10505,39,novel,serialized fiction;children's book,yes,g17396
169,have,2488,Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World,Jules Verne,,10106,,,,no,g2488
170,have,421,Kidnapped,Robert Louis Stevenson,,9755,,,,no,g421
171,have,1268,The Mysterious Island,Jules Verne,,9741,,,,no,g1268
172,have,940,The Last of the Mohicans; A narrative of 1757,James Fenimore Cooper,1824,9647,52,novel,historical fiction,yes,g940
173,have,139,The Lost World,Arthur Conan Doyle,1912,9539,33,novel,fiction;science fiction;lost world fiction;adventure fiction,yes,g139
174,new,2500,Siddhartha (novel),Hermann Hesse,1922,9381,60,novel;Erzählung,developmental novel;philosophical novel,yes,g2500
175,new,12342,The Nuttall Encyclopædia,,1900,9371,11,encyclopedia,encyclopedia,yes,g12342
176,new,43936,The Wonderful Wizard of Oz,L. Frank Baum,1900,9136,67,novel,fantasy;children's story,yes,g43936
177,have,289,The Wind in the Willows,Kenneth Grahame,1908,9111,,,,no,b39
178,have,140,The Jungle,Upton Sinclair,1905,8892,27,novel,social fiction,yes,g140
179,new,4217,A Portrait of the Artist as a Young Man,James Joyce,1918,8579,46,novel,Bildungsroman;Künstlerroman;autobiographical novel,yes,g4217
180,have,1524,Hamlet,William Shakespeare,1603,8382,,,,no,b44
181,new,66048,The Interpretation of Dreams,Sigmund Freud,1900,8264,44,,,yes,g66048
182,new,2413,Madame Bovary,Gustave Flaubert,1857,8233,74,novel,realist novel,yes,g2413
183,new,308,Three Men in a Boat,Jerome K. Jerome,1889,7984,29,novel,humorous fiction,yes,g308
184,have,64,The gods of Mars,Edgar Rice Burroughs,,7938,,,,no,g64
185,have,1533,Macbeth,William Shakespeare,1606,7903,,,,no,b46
186,new,4517,Ethan Frome,Edith Wharton,1911,7695,18,novella,American realism,yes,g4517
187,new,902,The Devoted Friend,Oscar Wilde,1888,7685,9,short story,parable,yes,g902
188,new,3177,Roughing It,Mark Twain,1872,7638,10,,travel literature,yes,g3177
189,have,68,The warlord of Mars,Edgar Rice Burroughs,1918,7441,14,novel,science fiction;fantasy,yes,g68
190,new,141,Mansfield Park,Jane Austen,1814,7376,44,novel,romantic fiction,yes,g141
191,new,59844,The Science of Getting Rich,Wallace Wattles,1910,7323,5,,self-help,yes,g59844
192,new,786,Hard Times (novel),Charles Dickens,1854,7132,28,novel,serialized fiction;social fiction,yes,g786
193,have,1153,The Chessmen of Mars,Edgar Rice Burroughs,1922,6917,12,novel,science fiction;fantasy;science fantasy,yes,g1153
194,have,551,The Land That Time Forgot,Edgar Rice Burroughs,,6693,,,,no,g551
195,have,3748,A Journey into the Interior of the Earth,Jules Verne,,6422,,,,no,g3748
196,new,7849,The Trial,Franz Kafka,1925,6403,73,novel,absurdist literature;dystopian fiction,yes,g7849
